name, result, total time, z3 time, generalization time, recursive block time, propagation time, refinement time, minimization time, number of z3 calls, added diagrams per frame, greates number of literas per frame, # refinements, # initial preds, # final preds, max size, # used preds
jml.in, safe,  1437.640,  609.074,  652.033,  950.905,  468.557,  0.028,  162.250,  596,  {0: 1; 1: 3; 2: 2; 3: 4; 4: 5; 5: 11; 6: 12; 7: 13; 8: 16; 9: 14; 10: 10; 11: 7},  {0: 48; 1: 48; 2: 48; 3: 48; 4: 33; 5: 33; 6: 33; 7: 33; 8: 33; 9: 21; 10: 21},  1,  6,  12,  0,  13 

messenger_unsafe_5_a0_a5-src_a0-dst_a5.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

futurebus.in, unsafe,  132.272,  68.196,  46.616,  88.759,  42.315,  0.127,  15.461,  56,  {0: 1; 1: 1; 2: 3; 3: 8; 4: 1},  {0: 39; 1: 63; 2: 39},  1,  4,  0,  0,  0 

mux-sem-param.in, safe,  6.551,  2.325,  2.595,  4.601,  1.452,  0.022,  0.980,  55,  {0: 1; 1: 2; 2: 1; 3: 4; 4: 6},  {0: 10; 1: 16; 2: 16; 3: 16},  1,  4,  8,  0,  6 

tricky.in, safe,  0.084,  0.027,  0.012,  0.025,  0.013,  0.000,  0.001,  5,  {0: 1; 1: 1},  {0: 2},  0,  2,  2,  0,  1 

order.in, safe,  680.350,  397.468,  237.508,  336.178,  337.741,  0.000,  38.971,  368,  {0: 1; 1: 2; 2: 3; 3: 2; 4: 7; 5: 10; 6: 9; 7: 22},  {0: 21; 1: 21; 2: 21; 3: 21; 4: 21; 5: 21; 6: 21},  0,  8,  8,  0,  8 

messenger_safe_3_a0_a3-src_a0-dst_a3.in, safe,  60.792,  32.355,  9.888,  25.911,  32.134,  0.000,  6.056,  234,  {0: 1; 1: 3; 2: 11; 3: 33; 4: 3; 5: 5},  {0: 34; 1: 24; 2: 24; 3: 24; 4: 24},  0,  24,  24,  0,  17 

csm.in, safe,  0.168,  0.044,  0.043,  0.079,  0.033,  0.000,  0.001,  5,  {0: 1; 1: 1},  {0: 16},  0,  16,  16,  0,  2 

