name, result, total time, z3 time, generalization time, recursive block time, propagation time, refinement time, minimization time, number of z3 calls, added diagrams per frame, greates number of literas per frame, # refinements, # initial preds, # final preds, max size, # used preds, # failed ref, # frames
ring_safe_3_s_d-src_s-dst_d.in, safe,  3601.646,  1740.594,  1738.436,  2410.622,  1188.794,  0.223,  117.589,  454,  {0: 1; 1: 1; 2: 3; 3: 3; 4: 5; 5: 4},  {0: 300; 1: 300; 2: 161; 3: 73; 4: 24},  1,  3 ,  22,  {'index': 4},  6, 0, 6 

converging_safe_4_a2_b0-src_a2-dst_b0.in, safe,  11.779,  6.337,  2.040,  5.498,  5.937,  0.000,  1.306,  519,  {0: 1; 1: 1; 2: 4; 3: 3; 4: 4},  {0: 42; 1: 30; 2: 19; 3: 9},  0,  9 ,  9,  0,  5, 0, 5 

Fischer_from_tutorial.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1 

order.in, safe,  900.917,  574.891,  280.125,  526.545,  357.490,  0.000,  35.162,  860,  {0: 1; 1: 2; 2: 3; 3: 3; 4: 6; 5: 11; 6: 11; 7: 22; 8: 8; 9: 5; 10: 5},  {0: 21; 1: 21; 2: 21; 3: 21; 4: 21; 5: 21; 6: 21; 7: 21; 8: 21; 9: 21},  0,  8 ,  8,  0,  8, 0, 11 

german_07.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,  11 , 0, 0, 0, 0, 7 

arp_unsafe_1.in, unsafe,  3.027,  0.825,  0.672,  1.591,  0.902,  0.040,  0.211,  266,  {0: 1; 1: 9; 2: 7; 3: 3},  {0: 18; 1: 11},  0,  11 ,  0,  {'index': 2},  0, 0, 3 

crash.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1 

converging_unsafe_4_a2_b0-src_a2-dst_b0.in, unsafe,  41.224,  30.783,  4.261,  10.587,  29.913,  0.343,  2.747,  713,  {0: 1; 1: 1; 2: 5; 3: 5},  {0: 30; 1: 19; 2: 9},  0,  9 ,  0,  {'index': 4},  0, 0, 4 

sendOmission.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,  13 , 0, 0, 0, 0, 7 

sequence_unsafe_1_s_d-src_s-dst_d.in, unsafe,  0.205,  0.033,  0.036,  0.117,  0.016,  0.008,  0.021,  22,  {0: 1; 1: 1; 2: 1},  {0: 5},  0,  1 ,  0,  {'index': 2},  0, 0, 2 

converging_unsafe_1_a0_b0-src_a0-dst_b0.in, unsafe,  0.431,  0.075,  0.096,  0.291,  0.025,  0.021,  0.049,  65,  {0: 1; 1: 1; 2: 2},  {0: 7; 1: 3},  0,  3 ,  0,  {'index': 2},  0, 0, 2 

network_safe_3_d_e-src_d-dst_e.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,  13 , 0, 0, 0, 0, 7 

illinois.in, safe,  60.100,  29.073,  24.461,  44.949,  14.248,  0.035,  5.103,  293,  {0: 1; 1: 1; 2: 2; 3: 5; 4: 5; 5: 4},  {0: 21; 1: 33; 2: 33; 3: 33; 4: 19},  1,  4 ,  8,  {'index': 3},  5, 0, 6 

german_07_harder_2.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,  10 , 0, 0, 0, 0, 6 

network_unsafe_1_d_e-src_d-dst_e.in, unsafe,  16.849,  8.912,  4.532,  14.665,  1.913,  0.089,  2.204,  231,  {0: 1; 1: 1; 2: 3; 3: 4},  {0: 32; 1: 19; 2: 9},  0,  7 ,  0,  {'index': 3},  0, 0, 4 

mesi_ca.in, safe,  0.905,  0.233,  0.158,  0.386,  0.297,  0.008,  0.015,  101,  {0: 1; 1: 1; 2: 1; 3: 9; 4: 3},  {0: 6; 1: 6; 2: 6; 3: 6},  1,  4 ,  6,  {'index': 1},  0, 0, 5 

converging_unsafe_3_a1_b0-src_a1-dst_b0.in, unsafe,  6.816,  4.537,  0.616,  2.100,  4.377,  0.130,  0.551,  248,  {0: 1; 1: 2; 2: 3},  {0: 15; 1: 7},  0,  7 ,  0,  {'index': 3},  0, 0, 3 

carverS.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1 

ring_safe_6_s_d-src_s-dst_d.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1,  6 , 0, 0, 0, 0, 7 

German.in, safe,  0.866,  0.318,  0.143,  0.282,  0.410,  0.000,  0.007,  78,  {0: 1; 1: 5},  {0: 10},  0,  10 ,  10,  0,  3, 0, 3 

jml.in, safe,  105.476,  44.608,  47.874,  76.687,  24.870,  0.028,  9.337,  649,  {0: 1; 1: 2; 2: 3; 3: 3; 4: 6; 5: 7; 6: 7; 7: 7; 8: 6},  {0: 38; 1: 38; 2: 38; 3: 25; 4: 25; 5: 25; 6: 15; 7: 15},  1,  5 ,  7,  {'index': 2},  5, 0, 9 

sequence_safe_1_s_d-src_s-dst_d.in, safe,  34.605,  14.845,  17.446,  24.368,  9.909,  0.113,  1.266,  103,  {0: 1; 1: 1; 2: 3; 3: 2; 4: 3},  {0: 13; 1: 158; 2: 71; 3: 23},  2,  1 ,  21,  {'index': 4},  4, 0, 5 

network_safe_5_d_e-src_d-dst_e.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,  19 , 0, 0, 0, 0, 6 

illinois_ca.in, safe,  2.604,  0.865,  0.428,  0.981,  1.179,  0.014,  0.031,  370,  {0: 1; 1: 4; 2: 4; 3: 10; 4: 6; 5: 4},  {0: 9; 1: 9; 2: 9; 3: 9; 4: 9},  1,  6 ,  9,  {'index': 1},  0, 0, 6 

system.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1 

german_07_harder_1.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,  11 , 0, 0, 0, 0, 7 

szymanski+.in, safe,  224.700,  158.012,  53.010,  150.198,  67.368,  0.035,  8.846,  832,  {0: 1; 1: 2; 2: 2; 3: 6; 4: 10; 5: 13; 6: 6},  {0: 11; 1: 27; 2: 27; 3: 27; 4: 27; 5: 27},  1,  4 ,  12,  {'index': 2},  9, 0, 7 

messenger_safe_1_a0_a1-src_a0-dst_a1.in, safe,  5.928,  2.253,  1.145,  2.708,  2.732,  0.000,  0.198,  573,  {0: 1; 1: 2; 2: 6; 3: 16; 4: 3; 5: 4},  {0: 17; 1: 11; 2: 11; 3: 11; 4: 8},  0,  7 ,  7,  0,  5, 0, 6 

