name, result, total time, z3 time, generalization time, recursive block time, propagation time, refinement time, minimization time, number of z3 calls, added diagrams per frame, greates number of literas per frame, # refinements, # initial preds, # final preds, max size, # used preds, # failed ref, # frames
sequence_unsafe_6_s_d-src_s-dst_d.in, unsafe,  108.269,  12.275,  12.572,  86.664,  3.331,  17.866,  58.505,  1227,  {0: 1; 1: 1; 2: 2; 3: 5; 4: 4; 5: 5; 6: 6},  {0: 53; 1: 42; 2: 32; 3: 23; 4: 15; 5: 8},  0,  6 ,  0,  {'index': 7},  0, 0, 7 

sequence_safe_2_s_d-src_s-dst_d.in, safe,  62.010,  30.517,  23.939,  43.881,  17.770,  0.034,  5.708,  403,  {0: 1; 1: 1; 2: 2; 3: 5; 4: 11; 5: 3},  {0: 32; 1: 32; 2: 32; 3: 19; 4: 9},  1,  2 ,  7,  {'index': 3},  6, 0, 6 

mux-sem-param.in, safe,  4.030,  1.469,  1.370,  2.898,  0.660,  0.021,  0.514,  99,  {0: 1; 1: 2; 2: 1; 3: 4; 4: 6},  {0: 10; 1: 12; 2: 12; 3: 12},  1,  4 ,  6,  {'index': 2},  3, 0, 5 

synapse.in, safe,  1.296,  0.379,  0.451,  0.866,  0.204,  0.030,  0.172,  40,  {0: 1; 1: 1; 2: 1; 3: 2},  {0: 9; 1: 15; 2: 15},  1,  3 ,  6,  {'index': 3},  4, 0, 4 

network_safe_2_d_e-src_d-dst_e.in, safe,  2097.351,  1059.100,  874.945,  1863.183,  232.434,  0.000,  149.670,  1629,  {0: 1; 1: 1; 2: 3; 3: 3; 4: 4; 5: 12; 6: 15; 7: 7},  {0: 73; 1: 73; 2: 73; 3: 73; 4: 48; 5: 28; 6: 13},  0,  10 ,  10,  0,  12, 0, 8 

network_safe_4_d_e-src_d-dst_e.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,  16 , 0, 0, 0, 0, 7 

csm.in, safe,  2.636,  0.525,  0.504,  1.783,  0.686,  0.000,  0.624,  145,  {0: 1; 1: 1; 2: 7},  {0: 51; 1: 16},  0,  16 ,  16,  0,  10, 0, 4 

network_safe_1_d_e-src_d-dst_e.in, safe,  116.660,  56.281,  49.093,  97.845,  18.315,  0.000,  7.670,  705,  {0: 1; 1: 1; 2: 3; 3: 3; 4: 7; 5: 8; 6: 5},  {0: 33; 1: 33; 2: 33; 3: 33; 4: 20; 5: 10},  0,  7 ,  7,  0,  8, 0, 7 

messenger_unsafe_2_a0_a2-src_a0-dst_a2.in, unsafe,  162.742,  104.600,  12.343,  43.824,  112.476,  0.267,  14.594,  5062,  {0: 1; 1: 7; 2: 7; 3: 13; 4: 20; 5: 40; 6: 14; 7: 16; 8: 21; 9: 2; 10: 5},  {0: 32; 1: 23; 2: 23; 3: 23; 4: 23; 5: 23; 6: 15; 7: 15; 8: 15; 9: 11},  0,  11 ,  0,  {'index': 3},  0, 0, 10 

network_safe_6_d_e-src_d-dst_e.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,  22 , 0, 0, 0, 0, 6 

messenger_unsafe_4_a0_a4-src_a0-dst_a4.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,  19 , 0, 0, 0, 0, 12 

messenger_safe_2_a0_a2-src_a0-dst_a2.in, safe,  265.052,  191.141,  13.240,  55.706,  202.311,  0.000,  23.857,  5004,  {0: 1; 1: 6; 2: 8; 3: 9; 4: 18; 5: 37; 6: 51; 7: 15; 8: 1; 9: 1},  {0: 36; 1: 36; 2: 36; 3: 27; 4: 27; 5: 19; 6: 16; 7: 14; 8: 14},  0,  11 ,  11,  0,  7, 0, 10 

Fischer_U.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2,  4 , 0, 0, 0, 41, 6 

converging_safe_1_a0_b0-src_a0-dst_b0.in, safe,  0.114,  0.030,  0.021,  0.038,  0.021,  0.000,  0.001,  14,  {0: 1; 1: 1},  {0: 3},  0,  3 ,  3,  0,  1, 0, 2 

dijkstra_1.in, safe,  1974.351,  1292.789,  531.952,  1096.163,  837.278,  0.318,  109.363,  2666,  {0: 1; 1: 1; 2: 1; 3: 8; 4: 3; 5: 5; 6: 10; 7: 13; 8: 8; 9: 32; 10: 26; 11: 10; 12: 12; 13: 18; 14: 12; 15: 8},  {0: 19; 1: 21; 2: 21; 3: 21; 4: 21; 5: 25; 6: 25; 7: 25; 8: 25; 9: 25; 10: 25; 11: 25; 12: 25; 13: 25; 14: 25},  3,  5 ,  11,  {'index': 2},  10, 0, 16 

converging_unsafe_2_a1_b0-src_a1-dst_b0.in, unsafe,  2.515,  0.463,  0.752,  1.962,  0.312,  0.075,  0.471,  245,  {0: 1; 1: 1; 2: 3; 3: 3},  {0: 18; 1: 11; 2: 5},  0,  5 ,  0,  {'index': 3},  0, 0, 3 

swim.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1 

tricky.in, safe,  0.089,  0.025,  0.015,  0.027,  0.015,  0.000,  0.001,  11,  {0: 1; 1: 1},  {0: 2},  0,  2 ,  2,  0,  1, 0, 2 

Fischer_0.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2,  5 , 0, 0, 0, 0, 8 

MIS.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1 

ticket.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3,  5 , 0, 0, 0, 0, 9 

filter-simple.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1 

ring_safe_3_s_d-src_s-dst_d.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1,  3 , 0, 0, 0, 0, 5 

converging_safe_4_a2_b0-src_a2-dst_b0.in, safe,  11.919,  6.510,  2.036,  5.489,  6.086,  0.000,  1.306,  519,  {0: 1; 1: 1; 2: 4; 3: 3; 4: 4},  {0: 42; 1: 30; 2: 19; 3: 9},  0,  9 ,  9,  0,  5, 0, 5 

Fischer_from_tutorial.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1 

order.in, safe,  86.681,  49.813,  30.417,  51.307,  31.244,  0.000,  3.805,  281,  {0: 1; 1: 2; 2: 3; 3: 2; 4: 4; 5: 5; 6: 1; 7: 3; 8: 4; 9: 4},  {0: 21; 1: 21; 2: 21; 3: 21; 4: 21; 5: 21; 6: 21; 7: 21; 8: 21},  0,  8 ,  8,  0,  7, 0, 10 

german_07.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,  11 , 0, 0, 0, 0, 7 

arp_unsafe_1.in, unsafe,  3.088,  0.844,  0.677,  1.617,  0.924,  0.041,  0.213,  266,  {0: 1; 1: 9; 2: 7; 3: 3},  {0: 18; 1: 11},  0,  11 ,  0,  {'index': 2},  0, 0, 3 

crash.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1 

converging_unsafe_4_a2_b0-src_a2-dst_b0.in, unsafe,  44.262,  34.425,  3.606,  9.961,  33.563,  0.349,  2.781,  699,  {0: 1; 1: 1; 2: 5; 3: 5},  {0: 30; 1: 19; 2: 9},  0,  9 ,  0,  {'index': 4},  0, 0, 4 

sendOmission.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,  13 , 0, 0, 0, 0, 7 

sequence_unsafe_1_s_d-src_s-dst_d.in, unsafe,  0.195,  0.031,  0.035,  0.115,  0.016,  0.008,  0.021,  22,  {0: 1; 1: 1; 2: 1},  {0: 5},  0,  1 ,  0,  {'index': 2},  0, 0, 2 

converging_unsafe_1_a0_b0-src_a0-dst_b0.in, unsafe,  0.421,  0.071,  0.095,  0.289,  0.025,  0.021,  0.053,  65,  {0: 1; 1: 1; 2: 2},  {0: 7; 1: 3},  0,  3 ,  0,  {'index': 2},  0, 0, 2 

network_safe_3_d_e-src_d-dst_e.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,  13 , 0, 0, 0, 0, 7 

illinois.in, safe,  59.052,  28.118,  24.270,  44.822,  13.266,  0.033,  5.158,  296,  {0: 1; 1: 1; 2: 2; 3: 5; 4: 5; 5: 4},  {0: 30; 1: 30; 2: 30; 3: 30; 4: 17},  1,  4 ,  7,  {'index': 3},  6, 0, 6 

german_07_harder_2.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,  10 , 0, 0, 0, 0, 7 

network_unsafe_1_d_e-src_d-dst_e.in, unsafe,  17.357,  9.246,  4.811,  15.474,  1.605,  0.088,  2.094,  231,  {0: 1; 1: 1; 2: 3; 3: 4},  {0: 32; 1: 19; 2: 9},  0,  7 ,  0,  {'index': 3},  0, 0, 4 

mesi_ca.in, safe,  0.879,  0.224,  0.154,  0.376,  0.288,  0.008,  0.015,  101,  {0: 1; 1: 1; 2: 1; 3: 9; 4: 3},  {0: 6; 1: 6; 2: 6; 3: 6},  1,  4 ,  6,  {'index': 1},  0, 0, 5 

converging_unsafe_3_a1_b0-src_a1-dst_b0.in, unsafe,  6.729,  4.461,  0.614,  2.086,  4.305,  0.130,  0.547,  248,  {0: 1; 1: 2; 2: 3},  {0: 15; 1: 7},  0,  7 ,  0,  {'index': 3},  0, 0, 3 

carverS.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1 

ring_safe_6_s_d-src_s-dst_d.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1,  6 , 0, 0, 0, 0, 7 

German.in, safe,  0.880,  0.327,  0.144,  0.286,  0.421,  0.000,  0.007,  78,  {0: 1; 1: 5},  {0: 10},  0,  10 ,  10,  0,  3, 0, 3 

